Reference,Quantity,Value,Footprint,Description,Vendor_Link,Notes
QP1,1,2SC5200,TO-3P,Output transistor NPN (Toshiba 2SC5200),https://www.electronicscomp.com/search?query=2SC5200,Use genuine Toshiba or matched equivalents
QP2,1,2SC5200,TO-3P,Output transistor NPN (Toshiba 2SC5200),https://www.amazon.in/s?k=2SC5200,Alternate supplier
QP3,1,2SC5200,TO-3P,Output transistor NPN (Toshiba 2SC5200),https://evelta.com/search?q=2SC5200,Check seller stock
QP4,1,2SC5200,TO-3P,Output transistor NPN (Toshiba 2SC5200),https://www.ebay.in/sch/i.html?_nkw=2SC5200,Only if local sources out
QP5,1,2SC5200,TO-3P,Output transistor NPN (Toshiba 2SC5200),https://www.mouser.in,High-quality source
QN1,1,2SA1943,TO-3P,Output transistor PNP (Toshiba 2SA1943),https://www.electronicscomp.com/search?query=2SA1943,Match h_FE where possible
QN2,1,2SA1943,TO-3P,Output transistor PNP (Toshiba 2SA1943),https://www.amazon.in/s?k=2SA1943,
QN3,1,2SA1943,TO-3P,Output transistor PNP (Toshiba 2SA1943),https://evelta.com/search?q=2SA1943,
QN4,1,2SA1943,TO-3P,Output transistor PNP (Toshiba 2SA1943),https://www.ebay.in/sch/i.html?_nkw=2SA1943,
QN5,1,2SA1943,TO-3P,Output transistor PNP (Toshiba 2SA1943),https://www.mouser.in,
QD1,1,BD139,TO-126,Driver transistor NPN (BD139),https://www.electronicscomp.com/search?query=BD139,
QD2,1,BD140,TO-126,Driver transistor PNP (BD140),https://www.electronicscomp.com/search?query=BD140,
QPRE1,1,C1815,TO-92,Preamp transistor NPN (C1815) or BC546 alternative,https://www.electronicscomp.com/search?query=C1815,Use matched pair for lower offset
QPRE2,1,A1015,TO-92,Preamp transistor PNP (A1015) or BC556 alternative,https://www.electronicscomp.com/search?query=A1015,
RE1,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,One per power transistor
RE2,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE3,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE4,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE5,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE6,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE7,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE8,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE9,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
RE10,1,0.22R,5W,Emitter resistor (ceramic block 5W),https://www.electronicscomp.com/search?query=0.22ohm+5W+resistor,
